"","start_week","week_num","year","age_group","n"
"436",2020-11-09,46,2020,"5-17",13
"437",2020-11-09,46,2020,"50-64",1
"438",2020-11-16,47,2020,"<1",8
"439",2020-11-16,47,2020,"1-4",8
"440",2020-11-16,47,2020,"5-17",9
"441",2020-11-16,47,2020,"18-49",1
"442",2020-11-16,47,2020,"50-64",1
"443",2020-11-23,48,2020,"<1",11
"444",2020-11-23,48,2020,"1-4",8
"445",2020-11-23,48,2020,"5-17",8
"446",2020-11-23,48,2020,"65+",4
"447",2020-11-30,49,2020,"<1",9
"448",2020-11-30,49,2020,"1-4",7
"449",2020-11-30,49,2020,"5-17",7
"450",2020-11-30,49,2020,"18-49",1
"451",2020-11-30,49,2020,"65+",2
"452",2020-12-07,50,2020,"<1",10
"453",2020-12-07,50,2020,"1-4",14
"454",2020-12-07,50,2020,"5-17",6
"455",2020-12-07,50,2020,"18-49",1
"456",2020-12-07,50,2020,"50-64",2
"457",2020-12-07,50,2020,"65+",3
"458",2020-12-14,51,2020,"<1",3
"459",2020-12-14,51,2020,"1-4",9
"460",2020-12-14,51,2020,"5-17",4
"461",2020-12-14,51,2020,"18-49",2
"462",2020-12-14,51,2020,"50-64",3
"463",2020-12-14,51,2020,"65+",1
"464",2020-12-21,52,2020,"<1",6
"465",2020-12-21,52,2020,"1-4",10
"466",2020-12-21,52,2020,"5-17",9
"467",2020-12-21,52,2020,"18-49",1
"468",2020-12-21,52,2020,"50-64",1
"469",2020-12-28,53,2020,"<1",12
"470",2020-12-28,53,2020,"1-4",11
"471",2020-12-28,53,2020,"5-17",14
"472",2020-12-28,53,2020,"18-49",10
"473",2020-12-28,53,2020,"50-64",4
"474",2020-12-28,53,2020,"65+",5
"475",2021-01-04,1,2021,"<1",6
"476",2021-01-04,1,2021,"1-4",8
"477",2021-01-04,1,2021,"5-17",9
"478",2021-01-04,1,2021,"18-49",2
"479",2021-01-04,1,2021,"50-64",1
"480",2021-01-04,1,2021,"65+",3
"481",2021-01-04,NA,NA,"<1",5
"482",2021-01-04,NA,NA,"1-4",12
"483",2021-01-04,NA,NA,"5-17",5
"484",2021-01-11,2,2021,"<1",3
"485",2021-01-11,2,2021,"1-4",2
"486",2021-01-11,2,2021,"5-17",2
"487",2021-01-11,NA,NA,"<1",22
"488",2021-01-11,NA,NA,"1-4",17
"489",2021-01-11,NA,NA,"5-17",13
"490",2021-01-11,NA,NA,"18-49",2
"491",2021-01-11,NA,NA,"50-64",4
"492",2021-01-11,NA,NA,"65+",2
"493",2021-01-18,NA,NA,"<1",39
"494",2021-01-18,NA,NA,"1-4",34
"495",2021-01-18,NA,NA,"5-17",24
